chapter_code,group_name,command_code,operation_type,path,status
SJ,移动性参数管理,ADD CARRIER,ADD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN,deleted_by_000005
SJ,移动性参数管理,LST CARRIER,LST,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN,deleted_by_000005
SJ,移动性参数管理,MOD CARRIER,MOD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN,deleted_by_000005
SJ,移动性参数管理,RMV CARRIER,RMV,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN,deleted_by_000005
SJ,移动性参数管理,ADD CARRIER,ADD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax,deleted_by_000005
SJ,移动性参数管理,LST CARRIER,LST,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax,deleted_by_000005
SJ,移动性参数管理,MOD CARRIER,MOD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax,deleted_by_000005
SJ,移动性参数管理,RMV CARRIER,RMV,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax,deleted_by_000005
SJ,移动性参数管理,ADD CARRIER,ADD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq,deleted_by_000005
SJ,移动性参数管理,LST CARRIER,LST,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq,deleted_by_000005
SJ,移动性参数管理,MOD CARRIER,MOD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq,deleted_by_000005
SJ,移动性参数管理,RMV CARRIER,RMV,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq,deleted_by_000005
SJ,移动性参数管理,ADD CARRIER,ADD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5,deleted_by_000005
SJ,移动性参数管理,LST CARRIER,LST,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5,deleted_by_000005
SJ,移动性参数管理,MOD CARRIER,MOD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5,deleted_by_000005
SJ,移动性参数管理,RMV CARRIER,RMV,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5,deleted_by_000005
SJ,移动性参数管理,ADD CARRIER,ADD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh,deleted_by_000005
SJ,移动性参数管理,LST CARRIER,LST,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh,deleted_by_000005
SJ,移动性参数管理,MOD CARRIER,MOD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh,deleted_by_000005
SJ,移动性参数管理,RMV CARRIER,RMV,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh,deleted_by_000005
SJ,移动性参数管理,ADD CARRIER,ADD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow,deleted_by_000005
SJ,移动性参数管理,LST CARRIER,LST,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow,deleted_by_000005
SJ,移动性参数管理,MOD CARRIER,MOD,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow,deleted_by_000005
SJ,移动性参数管理,RMV CARRIER,RMV,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow,deleted_by_000005
SL,WAN口配置参数管理,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.{i},deleted_by_000005
SL,WAN口配置参数管理,LST ETHERNET_INTERFACE,LST,Device.Ethernet.Interface.{i},deleted_by_000005
SL,WAN口配置参数管理,MOD ETHERNET_INTERFACE,MOD,Device.Ethernet.Interface.{i},deleted_by_000005
SL,WAN口配置参数管理,RMV ETHERNET_INTERFACE,RMV,Device.Ethernet.Interface.{i},deleted_by_000005
SL,WAN口配置参数管理,ADD INTERFACE_I_PV4_ADDRESS,ADD,Device.Ethernet.Interface.{i}.IPv4Address.{i},deleted_by_000005
SL,WAN口配置参数管理,LST INTERFACE_I_PV4_ADDRESS,LST,Device.Ethernet.Interface.{i}.IPv4Address.{i},deleted_by_000005
