attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
CRYPTO_ESP_CIPHER_ALGO,NON_VOLATILE,8,,4,,,,READ_WRITE,AES-CBC,,3,,,STRINGARRAY,,,"
            IPsec encryption algorithm. {{bibref|RFC4835|Section 3.1.1}}
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.ESPEncrypt,READ_WRITE,STRING,4,8,,NO_NOTIFICATION,false,AES-CBC,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_ESP_CIPHER_ALGO,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_ESP_INTG_ALGO,NON_VOLATILE,15,,12,,,,READ_WRITE,HMAC-SHA1-96,,2,,,STRINGARRAY,,,"
            IPsec integrity function. {{bibref|RFC4835|Section 3.1.1}}
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.ESPIntegrity,READ_WRITE,STRING,12,15,,NO_NOTIFICATION,false,HMAC-SHA1-96,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_ESP_INTG_ALGO,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IPSEC_WINDOW_SIZE,NON_VOLATILE,2000000,,0,,,,READ_WRITE,0,,,,,U32,,,"
            The size of the Anti-Replay Window.
            If 0 Sequence Number Verification is disabled.
            For UMTS devices, see {{bibref|3GPP-TS.32.582}} and {{bibref|3GPP-TS.32.584}}. For LTE devices, see {{bibref|3GPP-TS.32.592}}. For CDMA2000 devices, see {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IPsecWindowSize,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IPSEC_WINDOW_SIZE,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_REKEY_LIFETIME,NON_VOLATILE,2000000,,0,,,,READ_WRITE,0,,,,,U32,,,"
            IKEv2 SA rekey timeout in {{units}}.
            For UMTS devices, see {{bibref|3GPP-TS.32.582}} and {{bibref|3GPP-TS.32.584}}. For LTE devices, see {{bibref|3GPP-TS.32.592}}. For CDMA2000 devices, see {{bibref|3GPP2-S.S0132}}.",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IKERekeyLifetime,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_REKEY_LIFETIME,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_REKEY_LIFETIME_BYTE,NON_VOLATILE,2000000,,0,,,,READ_WRITE,0,,,,,U32,,,"
            IPsec SA rekey timeout in {{units}}.
            For UMTS devices, see {{bibref|3GPP-TS.32.582}} and {{bibref|3GPP-TS.32.584}}. For LTE devices, see {{bibref|3GPP-TS.32.592}}. For CDMA2000 devices, see {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IPsecRekeyLifetimeByte,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_REKEY_LIFETIME_BYTE,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_IKE_REKEY_LIFETIME_TIME,NON_VOLATILE,2000000,,0,,,,READ_WRITE,0,,,,,U32,,,"
            IPsec SA rekey timeout in {{units}}.
            For UMTS devices, see {{bibref|3GPP-TS.32.582}} and {{bibref|3GPP-TS.32.584}}. For LTE devices, see {{bibref|3GPP-TS.32.592}}. For CDMA2000 devices, see {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.IPsecRekeyLifetimeTime,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_IKE_REKEY_LIFETIME_TIME,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_DPD_TIMER,NON_VOLATILE,2000000,,0,,,,READ_WRITE,300,,,,,U32,,,"
            DPD timeout in {{units}}.
            For UMTS devices, see {{bibref|3GPP-TS.32.582}} and {{bibref|3GPP-TS.32.584}}. For LTE devices, see {{bibref|3GPP-TS.32.592}}. For CDMA2000 devices, see {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.DPDTimer,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,300,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_DPD_TIMER,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_NAT_KEEP_ALIVE_TIMER,NON_VOLATILE,2000000,,0,,,,READ_WRITE,180,,,,,U32,,,"
            NAT-T keepalive timeout in {{units}}.
            For UMTS devices, see {{bibref|3GPP-TS.32.582}} and {{bibref|3GPP-TS.32.584}}. For LTE devices, see {{bibref|3GPP-TS.32.592}}. For CDMA2000 devices, see {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.NATTKeepaliveTimer,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,180,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_NAT_KEEP_ALIVE_TIMER,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_SEC_MAX_FRAG_SIZE,NON_VOLATILE,1400,,256,,,,READ_WRITE,1200,,,,,U32,,,"
            Maximum fragment size, in {{units}}, from device before Encryption.
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.SecMaxFragSize,READ_WRITE,U_INT,256,1400,,NO_NOTIFICATION,false,1200,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_SEC_MAX_FRAG_SIZE,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
CRYPTO_SEC_DF_BIT,NON_VOLATILE,3,,2,,,,READ_WRITE,Off,,,,,STRING,,,"
            Indicates if the 'Do Not Fragment' bit needs to be turned on/off.
            For CDMA2000 devices, see also {{bibref|3GPP2-S.S0132}}.
         ",,,{},{},Device.FAP.Tunnel.CryptoProfile.{i}.SecDFBit,READ_WRITE,STRING,2,3,,NO_NOTIFICATION,false,Off,GROUP_ID_INVALID,FAP.0.CRYPTO_PROFILES.{1},PARAM_ID_CRYPTO_SEC_DF_BIT,,,9,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",CRYPTO_PROFILES,FAP,,2,19
