attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
IKE_ENCRYPTION_NULL_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Permit the use of null encryption for IKE encryption,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IKE_SA_LIFETIME,NON_VOLATILE,86400,,0,,,,READ_WRITE,10800,,,,,U32,,,The number of seconds for which the encryption keys of the connection should last before being re-negotiated.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IKE_DPD_INTERVAL,NON_VOLATILE,86400,,0,,,,READ_WRITE,600,,,,,U32,,,The Dead Peer Detection period time interval in seconds.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IKE_DPD_TRIES,NON_VOLATILE,128,,0,,,,READ_WRITE,5,,,,,U32,,,The number of Dead Peer Detection period time intervals to try.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IPSEC_NAT_T_PORT,NON_VOLATILE,65535,,0,,,,READ_WRITE,4500,,,,,U32,,,"UDP port on which to perform NAT-T, 0 to disable. This behaviour is only honoured by Interpeak solutions. Other solutions ignore this attribute.",,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IPSEC_ENCRYPTION_3DES_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Permit the use of 3DES for IPsec encryption.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IPSEC_ENCRYPTION_AES_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Permit the use of AES for IPsec encryption.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IPSEC_ENCRYPTION_AES128_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,Permit the use of AES-128 for IPsec encryption; if no encryption algorithms are enabled for IPsec then the use of this algorithm will be forced.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IPSEC_ENCRYPTION_NULL_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,Permit the use of null encryption for IPsec encryption,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IPSEC_SA_LIFETIME,NON_VOLATILE,86400,,0,,,,READ_WRITE,3600,,,,,U32,,,The number of seconds for which a particular instance of a connection should last. This value includes control of the lifetime of the encryption keys for the connection.,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,COMMISSIONING,FAP,1,1,19
IUH_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,"Core network transport: 0-Iu, 1-Iuh",,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IU_SCTP_LOCAL_PORT,NON_VOLATILE,65535,,1024,,,,READ_WRITE,2905,,,,,U32,,,Iu SCTP Local Port,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IU_SCTP_REMOTE_PORT,NON_VOLATILE,65535,,1024,,,,READ_WRITE,2905,,,,,U32,,,Iu SCTP Remote Port,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IU_FEMTO_POINT_CODE,NON_VOLATILE,16383,,1,,,,READ_WRITE,1,,,,,U32,,,Iu Femto Point Code,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IU_CORE_NET_CS_POINT_CODE,NON_VOLATILE,16383,,1,,,,READ_WRITE,1,,,,,U32,,,Iu Core Network CS Point Code,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IU_CORE_NET_PS_POINT_CODE,NON_VOLATILE,16383,,1,,,,READ_WRITE,1,,,,,U32,,,Iu Core Network PS Point Code,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
IU_STATIC_CN_IP_ADDRESS,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,Iu Static Core Network IP Address,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_MAX_INIT_RETRANS,NON_VOLATILE,,,0,,,,READ_WRITE,8,,,,,U32,,,Max Retransmits of SCTP INIT,,19,,{},Device.Services.FAPService.1.Transport.SCTP.MaxInitRetransmits,READ_WRITE,U_INT,5,10,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_MAX_INIT_RETRANS,true,true,6,,FAP,,,,19
SCTP_T1_INIT_TIMER,NON_VOLATILE,9999,,1,,,,READ_WRITE,1,,,,,U32,,,T1 INIT Timer (Seconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_MAX_COOKIE_ECHO_RETRANS,NON_VOLATILE,9999,,0,,,,READ_WRITE,4,,,,,U32,,,Max Retransmits of SCTP COOKIE ECHO,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_T1_COOKIE_TIMER,NON_VOLATILE,9999,,1,,,,READ_WRITE,1,,,,,U32,,,T1 COOKIE Timer (Seconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_T2_SHUTDOWN_TIMER,NON_VOLATILE,9999,,1,,,,READ_WRITE,1,,,,,U32,,,T2 SHUTDOWN Timer (Seconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_RTO_INITIAL,NON_VOLATILE,,,0,,,,READ_WRITE,3000,,,,,U32,,,Initial Retransmit Timer Value (milliseconds),,19,,{},Device.Services.FAPService.1.Transport.SCTP.RTOInitial,READ_WRITE,U_INT,1,60000,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_RTO_INITIAL,true,true,6,,FAP,,,,19
SCTP_RTO_MIN,NON_VOLATILE,,,0,,,,READ_WRITE,1000,,,,,U32,,,Minimum Retransmit Timer Value (milliseconds),,19,,{},Device.Services.FAPService.1.Transport.SCTP.RTOMin,READ_WRITE,U_INT,1,60000,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_RTO_MIN,true,true,6,,FAP,,,,19
SCTP_RTO_MAX,NON_VOLATILE,,,0,,,,READ_WRITE,6000,,,,,U32,,,Maximum Retransmit Timer Value (milliseconds),,19,,{},Device.Services.FAPService.1.Transport.SCTP.RTOMax,READ_WRITE,U_INT,1,60000,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_RTO_MAX,true,true,6,,FAP,,,,19
SCTP_T3_RETRANSMIT_TIMER,NON_VOLATILE,9999,,1,,,,READ_WRITE,3,,,,,U32,,,T3 RETRANSMIT Timer (Seconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_DELAYED_SACK_TIMER,NON_VOLATILE,9999,,10,,,,READ_WRITE,200,,,,,U32,,,Delayed SACK Timer (Seconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_RESTART_DELAY_TIMER,NON_VOLATILE,9999,,1,,,,READ_WRITE,15,,,,,U32,,,Restart Delay Timer (Seconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_HEARTBEAT_TIMER,NON_VOLATILE,,,1,,,,READ_WRITE,30,,,,,U32,,,SCTP HEARTBEAT Timer (Seconds),,19,,{},Device.Services.FAPService.1.Transport.SCTP.HBInterval,READ_WRITE,U_INT,1,86400,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_HEARTBEAT_TIMER,true,true,6,,FAP,,,,19
SCTP_OUTBOUND_STREAMS,NON_VOLATILE,9999,,0,,,,READ_WRITE,2,,,,,U32,,,Number Of Outbound Streams,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_INBOUND_STREAMS,NON_VOLATILE,9999,,0,,,,READ_WRITE,3,,,,,U32,,,Number Of Inbound Streams,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_ASSOC_MAX_RETRANS,NON_VOLATILE,,,0,,,,READ_WRITE,10,,,,,U32,,,Max Retransmits of SCTP ASSOC,,19,,{},Device.Services.FAPService.1.Transport.SCTP.MaxAssociationRetransmits,READ_WRITE,U_INT,0,10,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_ASSOC_MAX_RETRANS,true,true,6,,FAP,,,,19
SCTP_SEND_ABORT,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,Send SCTP ABORT When Failure Detected?,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_ENABLE_TRACE,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,Enable Socket Level Tracing?,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCTP_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,,,19,,{},Device.Services.FAPService.1.Transport.SCTP.Enable,READ_WRITE,BOOLEAN,,,false,NO_NOTIFICATION,false,FALSE,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_ENABLE,true,true,6,,FAP,,,,19
SCTP_VAL_COOKIE_LIFE,NON_VOLATILE,,,0,,,,READ_WRITE,60000,,,,,U32,,,,,19,,{},Device.Services.FAPService.1.Transport.SCTP.ValCookieLife,READ_WRITE,U_INT,0,2592000,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_VAL_COOKIE_LIFE,true,true,6,,FAP,,,,19
SCTP_MAX_SHUTDOWN_RETRANS,NON_VOLATILE,,,0,,,,READ_WRITE,5,,,,,U32,,,Max Retransmits of SCTP SHUTDOWN,,19,,{},Device.Services.FAPService.1.Transport.SCTP.MaxPathRetransmits,READ_WRITE,U_INT,1,9999,false,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_SCTP_MAX_SHUTDOWN_RETRANS,true,true,6,,FAP,,,,19
M3UA_ASP_ID,NON_VOLATILE,9999,,1,,,,READ_WRITE,1,,,,,U32,,,M3UA Asp Id,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_DOUBLE_EXCHANGE,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,M3UA Double Exchange,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_TRAFFIC_MODE,NON_VOLATILE,4,,0,,,,READ_WRITE,1,,,,,U32,,,M3UA Traffic Mode,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_LOCAL_ROUTING_CONTEXT,NON_VOLATILE,4294967295,,0,,,,READ_WRITE,0,,,,,U32,,,M3UA Local Routing Context,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_REMOTE_CS_ROUTING_CONTEXT,NON_VOLATILE,4294967295,,0,,,,READ_WRITE,0,,,,,U32,,,M3UA Remote Cs Routing Context,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_REMOTE_PS_ROUTING_CONTEXT,NON_VOLATILE,4294967295,,0,,,,READ_WRITE,0,,,,,U32,,,M3UA Remote Ps Routing Context,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_ASP_UP_ACK_WAIT_TIMER,NON_VOLATILE,9999,,1,,,,READ_WRITE,3,,,,,U32,,,M3UA Asp Up Ack Wait Timer,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
M3UA_ASP_UP_MAX_RETRIES,NON_VOLATILE,9999,,0,,,,READ_WRITE,2,,,,,U32,,,M3UA Asp Up Max Retries,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCCP_T_CONN_EST,NON_VOLATILE,3600,,1,,,,READ_WRITE,30,,,,,U32,,,Sccp Connection Establish Timer,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCCP_T_IAR,NON_VOLATILE,1260,,150,,,,READ_WRITE,270,,,,,U32,,,Sccp Inactivity Test Receive Timer,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCCP_T_IAS,NON_VOLATILE,600,,6,,,,READ_WRITE,90,,,,,U32,,,Sccp Inactivity Test Send Timer,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCCP_T_REL,NON_VOLATILE,20,,10,,,,READ_WRITE,10,,,,,U32,,,Sccp Release Retry Timer,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCCP_T_REL_INTERVAL,NON_VOLATILE,3600,,1,,,,READ_WRITE,20,,,,,U32,,,Sccp Release Fail Interval Timer,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SCCP_DPC_IN_CALLED_PARTY,NON_VOLATILE,1,,0,,,,READ_WRITE,1,,,,,U32,,,Sccp Include DPC In Called Party Address,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
HNBAP_HNB_REGISTRATION_GUARD_TIMER_MS,VOLATILE,60000,,100,,,,READ_WRITE,10000,,,,,U32,,,Guard (supervision) timer for HNBAP HNB Register procedure (milliseconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
HNBAP_UE_REGISTRATION_GUARD_TIMER_MS,VOLATILE,60000,,100,,,,READ_WRITE,10000,,,,,U32,,,Guard (supervision) timer for HNBAP UE Register procedure (milliseconds),,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
