model_code,source_file,source_sheet,source_row,entry_type,category,path,path_root,leaf_name,is_multi_instance,param_name,name_zh,importance,northbound_index,northbound_mapping,access,data_type,value_range,default_value,description,source,remark,revision_note,revision_time
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,115,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnS-NODERELEASEREJECTEnable,Device,XnS-NODERELEASEREJECTEnable,Y,XnS-NODERELEASEREJECTEnable,XnS-NODERELEASEREJECT信令软采开关,A,,,RW,boolean,,,"Xn口S-NODERELEASEREJECT信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,114,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnS-NODERELEASEREQUESTACKNOWLEDGEEnable,Device,XnS-NODERELEASEREQUESTACKNOWLEDGEEnable,Y,XnS-NODERELEASEREQUESTACKNOWLEDGEEnable,XnS-NODERELEASEREQUESTACKNOWLEDGE信令软采开关,A,,,RW,boolean,,,"Xn口S-NODERELEASEREQUESTACKNOWLEDGE信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,113,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnS-NODERELEASEREQUESTEnable,Device,XnS-NODERELEASEREQUESTEnable,Y,XnS-NODERELEASEREQUESTEnable,XnS-NODERELEASEREQUEST信令软采开关,A,,,RW,boolean,,,"Xn口S-NODERELEASEREQUEST信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,116,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnS-NODERELEASEREQUIREDEnable,Device,XnS-NODERELEASEREQUIREDEnable,Y,XnS-NODERELEASEREQUIREDEnable,XnS-NODERELEASEREQUIRED信令软采开关,A,,,RW,boolean,,,"Xn口S-NODERELEASEREQUIRED信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,103,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnSENBRECONFIGURATIONCOMPLETEEnable,Device,XnSENBRECONFIGURATIONCOMPLETEEnable,Y,XnSENBRECONFIGURATIONCOMPLETEEnable,XnSENBRECONFIGURATIONCOMPLETE信令软采开关,A,,,RW,boolean,,,"Xn口SENBRECONFIGURATIONCOMPLETE信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,92,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnSNSTATUSTRANSFEREnable,Device,XnSNSTATUSTRANSFEREnable,Y,XnSNSTATUSTRANSFEREnable,XnSNSTATUSTRANSFER信令软采开关,A,,,RW,boolean,,,"Xn口SNSTATUSTRANSFER信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,98,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnUADDRESSINDICATIONEnable,Device,XnUADDRESSINDICATIONEnable,Y,XnUADDRESSINDICATIONEnable,XnUADDRESSINDICATIONEnable信令软采开关,A,,,RW,boolean,,,"Xn口UADDRESSINDICATIONEnable信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,99,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnUEContextReleaseEnable,Device,XnUEContextReleaseEnable,Y,XnUEContextReleaseEnable,XnUEContextRelease信令软采开关,A,,,RW,boolean,,,"Xn口UEContextRelease信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,138,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnXNREMOVALFAILUREEnable,Device,XnXNREMOVALFAILUREEnable,Y,XnXNREMOVALFAILUREEnable,XnXNREMOVALFAILURE信令软采开关,A,,,RW,boolean,,,"Xn口XNREMOVALFAILURE信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,ST,136,parameter,Xn口采集配置策略,Device.FAP.SCMgmt.Config.{i}.XnXNREMOVALREQUESTEnable,Device,XnXNREMOVALREQUESTEnable,Y,XnXNREMOVALREQUESTEnable,XnXNREMOVALREQUEST信令软采开关,A,,,RW,boolean,,,"Xn口XNREMOVALREQUEST信令采集的策略，仅标识采集配置策略，不标识采集开启。(0=false,1=true)。",信令软采设备规范-Small Cell NR分册,,,
