model_code,category,path,entry_type,name_zh,access,data_type,mml_action,match_method,standard_param_exists,already_in_mml,target_chapter_code,target_chapter_name,target_group_name,target_object_path,target_group_code,candidate_commands,source_file,source_sheet,source_row,remark
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.MeasurePurpose,parameter,测量目的,R,unsignedInt[1:100],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,12,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.ReportAmount,parameter,上报次数,RW,"unsignedInt[0:2, 4, 8, 16, 32, 64]",add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,13,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.ReportInterval,parameter,上报间隔,RW,"unsignedInt[120, 240, 480, 640, 1024, 2048, 5120, 10240, 60000, 360000, 720000, 1800000, 3600000]",add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,14,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.ReportQuantity,parameter,上报量,RW,string,add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,15,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.TimeToTrigger,parameter,触发时间,RW,"unsignedInt[0,40, 64, 80,100,128, 160,256,320, 480, 512, 640, 1024,1280,2560,5120]",add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,16,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.TriggerQuantity,parameter,触发量,RW,string,add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,17,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.A1ThresholdRSRP,parameter,A1事件RSRP门限,RW,unsignedInt[0:97],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,19,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.A1ThresholdRSRQ,parameter,A1事件RSRQ门限,RW,unsignedInt[0:34],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,20,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.Enable,parameter,使能开关,RW,boolean,add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,18,
CMCC_TD_LTE_V2.3,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.2.Hysteresis,parameter,迟滞值,RW,unsignedInt[0:30],add_to_existing_command+insert_standard_param,object_prefix,no,no,SJ,移动性参数管理,连接态 EUTRA 测量,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_MOBILITY_CONNMODE_EUTRA,LST CONN_MODE_EUTRA;MOD CONN_MODE_EUTRA,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,21,
