path,entry_type,access,data_type,old_target_chapter_code,old_target_chapter_name,old_target_node_name,old_target_object_path,old_target_group_code,old_candidate_commands,rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,matched_group_code,matched_candidate_commands,match_source_type,match_source_file,match_reason,doc_category,doc_source_file,doc_source_sheet,doc_source_row
Device.Services.FAPService.{i}.FAPControl.NR.DumgrProvLog.DumgrLogLevel,parameter,READ_WRITE,STRING,SF,小区服务参数管理,DumgrProvLog,Device.Services.FAPService.{i}.FAPControl.NR.DumgrProvLog.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_NR_DUMGRPROVLOG,LST DUMGR_PROV_LOG;MOD DUMGR_PROV_LOG,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.NR.DumgrProvLog.DumgrMaxLogFilesize,parameter,READ_WRITE,STRING,SF,小区服务参数管理,DumgrProvLog,Device.Services.FAPService.{i}.FAPControl.NR.DumgrProvLog.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_NR_DUMGRPROVLOG,LST DUMGR_PROV_LOG;MOD DUMGR_PROV_LOG,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.NR.DumgrProvLog.DumgrShmSize,parameter,READ_WRITE,STRING,SF,小区服务参数管理,DumgrProvLog,Device.Services.FAPService.{i}.FAPControl.NR.DumgrProvLog.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_NR_DUMGRPROVLOG,LST DUMGR_PROV_LOG;MOD DUMGR_PROV_LOG,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i},parameter,READ_WRITE,STRING,SF,小区服务参数管理,EMBEDDED_EPCBearerLBOQos,Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.,DEVICE_SERVICES_FAPSERVICE_EMBEDDED_EPCBEARERLBOQOS,LST EMBEDDED_EPCBEARER_LBOQOS;MOD EMBEDDED_EPCBEARER_LBOQOS,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i},parameter,READ_WRITE,STRING,SF,小区服务参数管理,EMBEDDED_EPCBearerLBOTft,Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.,DEVICE_SERVICES_FAPSERVICE_EMBEDDED_EPCBEARERLBOTFT,LST EMBEDDED_EPCBEARER_LBOTFT;MOD EMBEDDED_EPCBEARER_LBOTFT,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
Device.Services.FAPService.{i}.X_COM.LTE.EUTRA_NEIGHBOR.AllowedMeasBW,parameter,READ_WRITE,STRING,SF,小区服务参数管理,EUTRA_NEIGHBOR,Device.Services.FAPService.{i}.X_COM.LTE.EUTRA_NEIGHBOR.,DEVICE_SERVICES_FAPSERVICE_X_COM_LTE_EUTRA_NEIGHBOR,LST EUTRA_NEIGHBOR;MOD EUTRA_NEIGHBOR,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.NR.F1apDscp.Dscp,parameter,READ_WRITE,STRING,SF,小区服务参数管理,F1apDscp,Device.Services.FAPService.{i}.FAPControl.NR.F1apDscp.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_NR_F1APDSCP,LST F1AP_DSCP;MOD F1AP_DSCP,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.NR.F1apDscp.VlanPrio,parameter,READ_WRITE,STRING,SF,小区服务参数管理,F1apDscp,Device.Services.FAPService.{i}.FAPControl.NR.F1apDscp.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_NR_F1APDSCP,LST F1AP_DSCP;MOD F1AP_DSCP,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.NR.F1apLog.RrcLogLevel,parameter,READ_WRITE,STRING,SF,小区服务参数管理,F1apLog,Device.Services.FAPService.{i}.FAPControl.NR.F1apLog.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_NR_F1APLOG,LST F1AP_LOG;MOD F1AP_LOG,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
Device.Services.FAPService.{i}.FAPControl.AUTO_START_ENABLE,parameter,READ_WRITE,BOOLEAN,SF,小区服务参数管理,FAPControl,Device.Services.FAPService.{i}.FAPControl.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL,LST FAPCONTROL;MOD FAPCONTROL,YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,参数 path 位于现有 JSON/seed 分组对象路径之下，可挂到该父分组；需确认是否过宽,,,,
