record_type,command_code,standard_path,base_mml_code,access_type,source_candidate,resolve_method,skipped_reason
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_GW,ROUTE_CONFIG9_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_GW,ROUTE_CONFIG9_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_NETADDR,ROUTE_CONFIG9_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_NETADDR,ROUTE_CONFIG9_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_NETMASK,ROUTE_CONFIG9_NETMASK,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_NETMASK,ROUTE_CONFIG9_NETMASK,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_ONBOOTENB,ROUTE_CONFIG9_ONBOOTENB,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_ONBOOTENB,ROUTE_CONFIG9_ONBOOTENB,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_GW,ROUTE_CONFIG9_V6_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_GW,ROUTE_CONFIG9_V6_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_NETADDR,ROUTE_CONFIG9_V6_NETADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_NETADDR,ROUTE_CONFIG9_V6_NETADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_ONBOOT,ROUTE_CONFIG9_V6_ONBOOT,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_ONBOOT,ROUTE_CONFIG9_V6_ONBOOT,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_PREFIX,ROUTE_CONFIG9_V6_PREFIX,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.ROUTE_CONFIG9_V6_PREFIX,ROUTE_CONFIG9_V6_PREFIX,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.RunningStatus,RUNNING_STATUS,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.RunningStatus,RUNNING_STATUS,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.SERVING_UNIT1_IPSEC_Address,SERVING_UNIT1_IPSEC_ADDRESS,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.STATIC_DNS_ENABLE,STATIC_DNS_ENABLE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.STATIC_DNS_ENABLE,STATIC_DNS_ENABLE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.SiteId,SITE_ID,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.SiteId,SITE_ID,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.SlaveInterface,SLAVE_INTERFACE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.SlaveInterface,SLAVE_INTERFACE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.SlaveInterfaceIP,SLAVE_INTERFACE_IP,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.SlaveInterfaceIP,SLAVE_INTERFACE_IP,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.SoftwareVersion_OLD,SOFTWARE_VERSION_OLD,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.SupportedPowerRange,SUPPORTED_POWER_RANGE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.SupportedPowerRange,SUPPORTED_POWER_RANGE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.UE_Count,UE_COUNT,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.UE_SPEED_STATISTICS,UE_SPEED_STATISTICS,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.U_BOOT_Version,U_BOOT_VERSION,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.UeAmbrDl,UE_AMBR_DL,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.UeAmbrDl,UE_AMBR_DL,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.UeAmbrUl,UE_AMBR_UL,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.UeAmbrUl,UE_AMBR_UL,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.UpTime_OLD,UP_TIME_OLD,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_DEFAULTGW,WAN_CONFIG10_DEFAULTGW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_DEFAULTGW,WAN_CONFIG10_DEFAULTGW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_ENABLE,WAN_CONFIG10_ENABLE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_ENABLE,WAN_CONFIG10_ENABLE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_IPADDR,WAN_CONFIG10_IPADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_IPADDR,WAN_CONFIG10_IPADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_IPMODE,WAN_CONFIG10_IPMODE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_IPMODE,WAN_CONFIG10_IPMODE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_NETMASK,WAN_CONFIG10_NETMASK,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_NETMASK,WAN_CONFIG10_NETMASK,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_OPTION60,WAN_CONFIG10_OPTION60,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_OPTION60,WAN_CONFIG10_OPTION60,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_V6_GW,WAN_CONFIG10_V6_GW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_V6_GW,WAN_CONFIG10_V6_GW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_V6_IPADDR,WAN_CONFIG10_V6_IPADDR,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_V6_IPADDR,WAN_CONFIG10_V6_IPADDR,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_V6_PREFIX,WAN_CONFIG10_V6_PREFIX,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_V6_PREFIX,WAN_CONFIG10_V6_PREFIX,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_VLAN,WAN_CONFIG10_VLAN,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG10_VLAN,WAN_CONFIG10_VLAN,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_DEFAULTGW,WAN_CONFIG11_DEFAULTGW,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_DEFAULTGW,WAN_CONFIG11_DEFAULTGW,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.WAN_CONFIG11_ENABLE,WAN_CONFIG11_ENABLE,RW,LST DEVICE_INFO,parent_exact,
